"Ticker","CIK","ADSH","INCOMETAXESPAID","DDATE","SIC.x","PERIOD","FP","FY","Name","Exchange","SIC.y","Business","Incorporated","IRS","Market Cap","Enterprise Value","Trailing P/E","Forward P/E","PEG Ratio","Price/Sales","Price/Book","Enterprise Value/Revenue","Enterprise Value/EBITDA","Fiscal Year Ends","Most Recent Quarter","Profit Margin","Operating Margin","Return on Assets","Return on Equity","Revenue","Revenue Per Share","Qtrly Revenue Growth","Gross Profit","EBITDA","Net Income Avl to Common","Diluted EPS","Qtrly Earnings Growth","Total Cash","Total Cash Per Share","Total Debt","Total Debt/Equity","Current Ratio","Book Value Per Share","Operating Cash Flow","Levered Free Cash Flow","Beta","52-Week Change","S&P500 52-Week Change","52-Week High","52-Week Low","50-Day Moving Average","200-Day Moving Average","Avg Vol","Avg Vol 1","Shares Outstanding","Float","% Held by Insiders","% Held by Institutions","Shares Short","Short Ratio","Short % of Float","Shares Short 2","Forward Annual Dividend Rate","Forward Annual Dividend Yield","Trailing Annual Dividend Yield","Trailing Annual Dividend Yield 3","5 Year Average Dividend Yield","Payout Ratio","Dividend Date","Ex-Dividend Date","Last Split Factor","Last Split Date","mc","taxes","tmratio"
"ACN","1467373","0001467373-15-000457","962976000","20140831","7389","20150831","FY","2015","Accenture PLC","NYSE",7389,"L2","L2",980627530,"59.46B","56.42B","19.95","16.56","1.84","1.88","9.90","1.81","10.86","Aug 31","Nov 30, 2015","9.76%","14.55%","15.91%","52.33%","31.17B","49.76","1.50%","9.81B","5.20B","3.04B","4.75","-1.50%","3.08B","4.90","27.66M","0.43","1.25","9.43","3.83B","3.62B","0.91","6.05%","-11.22%","109.86","86.40","100.75","102.24","3,116,500","4,703,660","627.91M","626.31M","0.21%","83.10%","10.12M","3.10","1.61%","9.30M","2.20","2.35%","2.12","2.30%","2.06%","47.13%","Nov 13, 2015","Oct 14, 2015","1:10","Dec 30, 2011",5.946e+10,962976000,0.0161953582240161
"ACN","1467373","0001467373-15-000457","1433538000","20150831","7389","20150831","FY","2015","Accenture PLC","NYSE",7389,"L2","L2",980627530,"59.46B","56.42B","19.95","16.56","1.84","1.88","9.90","1.81","10.86","Aug 31","Nov 30, 2015","9.76%","14.55%","15.91%","52.33%","31.17B","49.76","1.50%","9.81B","5.20B","3.04B","4.75","-1.50%","3.08B","4.90","27.66M","0.43","1.25","9.43","3.83B","3.62B","0.91","6.05%","-11.22%","109.86","86.40","100.75","102.24","3,116,500","4,703,660","627.91M","626.31M","0.21%","83.10%","10.12M","3.10","1.61%","9.30M","2.20","2.35%","2.12","2.30%","2.06%","47.13%","Nov 13, 2015","Oct 14, 2015","1:10","Dec 30, 2011",5.946e+10,1433538000,0.0241092835519677
"ACOR","1008848","0001008848-15-000009","2630000","20131231","2836","20141231","FY","2014","Acorda Therapeutics Inc","NASDAQ",2836,"NY","",NA,"1.45B","1.38B","134.52","35.78","1.12","2.90","2.37","2.80","23.04","Dec 31","Dec 31, 2015","2.24%","9.11%","2.55%","1.93%","492.66M","11.67","11.10%","320.86M","59.76M","11.06M","0.25","2,689.40%","353.30M","8.29","296.61M","49.19","4.98","14.15","N/A","N/A","1.57","-10.18%","-11.22%","43.63","25.50","38.78","35.21","639,036","757,725","43.16M","39.56M","1.87%","107.60%","6.68M","8.29","21.50%","7.05M","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",1.45e+09,2630000,0.00181379310344828
"ACOR","1008848","0001008848-15-000009","2706000","20121231","2836","20141231","FY","2014","Acorda Therapeutics Inc","NASDAQ",2836,"NY","",NA,"1.45B","1.38B","134.52","35.78","1.12","2.90","2.37","2.80","23.04","Dec 31","Dec 31, 2015","2.24%","9.11%","2.55%","1.93%","492.66M","11.67","11.10%","320.86M","59.76M","11.06M","0.25","2,689.40%","353.30M","8.29","296.61M","49.19","4.98","14.15","N/A","N/A","1.57","-10.18%","-11.22%","43.63","25.50","38.78","35.21","639,036","757,725","43.16M","39.56M","1.87%","107.60%","6.68M","8.29","21.50%","7.05M","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",1.45e+09,2706000,0.00186620689655172
"ACOR","1008848","0001008848-15-000009","4392000","20141231","2836","20141231","FY","2014","Acorda Therapeutics Inc","NASDAQ",2836,"NY","",NA,"1.45B","1.38B","134.52","35.78","1.12","2.90","2.37","2.80","23.04","Dec 31","Dec 31, 2015","2.24%","9.11%","2.55%","1.93%","492.66M","11.67","11.10%","320.86M","59.76M","11.06M","0.25","2,689.40%","353.30M","8.29","296.61M","49.19","4.98","14.15","N/A","N/A","1.57","-10.18%","-11.22%","43.63","25.50","38.78","35.21","639,036","757,725","43.16M","39.56M","1.87%","107.60%","6.68M","8.29","21.50%","7.05M","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",1.45e+09,4392000,0.00302896551724138
"ADTN","926282","0001193125-15-059743","15431000","20131231","3661","20141231","FY","2014","Adtran Inc","NASDAQ",3661,"AL","DE",630918200,"884.65M","793.46M","49.58","22.59","1.08","1.50","1.87","1.32","25.77","Dec 31","Dec 31, 2015","3.11%","2.76%","1.51%","3.62%","600.06M","11.73","-3.50%","311.33M","30.79M","18.65M","0.36","-38.50%","118.95M","2.40","27.90M","5.81","3.57","9.69","18.55M","11.70M","0.63","-21.61%","-11.22%","23.28","13.92","17.83","16.21","630,252","695,112","49.56M","49.25M","0.54%","100.80%","2.89M","3.14","7.37%","1.88M","0.36","1.99%","0.36","1.10%","1.57%","84.81%","Feb 18, 2016","Feb 2, 2016","2:1","Dec 16, 2003",884650000,15431000,0.017443056576047
"ADTN","926282","0001193125-15-059743","31021000","20121231","3661","20141231","FY","2014","Adtran Inc","NASDAQ",3661,"AL","DE",630918200,"884.65M","793.46M","49.58","22.59","1.08","1.50","1.87","1.32","25.77","Dec 31","Dec 31, 2015","3.11%","2.76%","1.51%","3.62%","600.06M","11.73","-3.50%","311.33M","30.79M","18.65M","0.36","-38.50%","118.95M","2.40","27.90M","5.81","3.57","9.69","18.55M","11.70M","0.63","-21.61%","-11.22%","23.28","13.92","17.83","16.21","630,252","695,112","49.56M","49.25M","0.54%","100.80%","2.89M","3.14","7.37%","1.88M","0.36","1.99%","0.36","1.10%","1.57%","84.81%","Feb 18, 2016","Feb 2, 2016","2:1","Dec 16, 2003",884650000,31021000,0.0350658452495337
"ADTN","926282","0001193125-15-059743","9856000","20141231","3661","20141231","FY","2014","Adtran Inc","NASDAQ",3661,"AL","DE",630918200,"884.65M","793.46M","49.58","22.59","1.08","1.50","1.87","1.32","25.77","Dec 31","Dec 31, 2015","3.11%","2.76%","1.51%","3.62%","600.06M","11.73","-3.50%","311.33M","30.79M","18.65M","0.36","-38.50%","118.95M","2.40","27.90M","5.81","3.57","9.69","18.55M","11.70M","0.63","-21.61%","-11.22%","23.28","13.92","17.83","16.21","630,252","695,112","49.56M","49.25M","0.54%","100.80%","2.89M","3.14","7.37%","1.88M","0.36","1.99%","0.36","1.10%","1.57%","84.81%","Feb 18, 2016","Feb 2, 2016","2:1","Dec 16, 2003",884650000,9856000,0.0111411292601594
"AEGR","1338042","0001193125-15-073654","1089000","20141231","2834","20141231","FY","2014","Aegerion Pharmaceuticals Inc","NASDAQ",2834,"MA","DE",202960116,"165.23M","347.46M","N/A","N/A","-0.54","0.74","1.23","1.43","81.93","Dec 31","Sep 30, 2015","-18.49%","-5.21%","-1.84%","-29.26%","242.60M","8.49","54.10%","144.00M","4.24M","-44.86M","-1.57","N/A","71.74M","2.48","253.96M","175.08","2.43","5.01","33.30M","-49.48M","2.08","-77.75%","-11.22%","28.97","5.34","7.72","12.91","617,686","466,125","28.94M","12.56M","17.05%","105.90%","5.76M","12.76","36.63%","5.77M","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1:2","Oct 19, 2010",165230000,1089000,0.00659081280639109
"AEGR","1338042","0001193125-15-073654","115000","20131231","2834","20141231","FY","2014","Aegerion Pharmaceuticals Inc","NASDAQ",2834,"MA","DE",202960116,"165.23M","347.46M","N/A","N/A","-0.54","0.74","1.23","1.43","81.93","Dec 31","Sep 30, 2015","-18.49%","-5.21%","-1.84%","-29.26%","242.60M","8.49","54.10%","144.00M","4.24M","-44.86M","-1.57","N/A","71.74M","2.48","253.96M","175.08","2.43","5.01","33.30M","-49.48M","2.08","-77.75%","-11.22%","28.97","5.34","7.72","12.91","617,686","466,125","28.94M","12.56M","17.05%","105.90%","5.76M","12.76","36.63%","5.77M","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1:2","Oct 19, 2010",165230000,115000,0.000695999515826424
"AEL","1039828","0001039828-15-000042","67450000","20121231","6311","20141231","FY","2014","American Equity Investment Life Holding Co","NYSE",6311,"IA","IA",421447959,"1.07B","1.32B","4.83","4.70","0.50","0.69","0.54","0.87","3.45","Dec 31","Dec 31, 2015","14.47%","24.91%","0.51%","10.76%","1.52B","19.24","-9.10%","653.46M","383.38M","219.83M","2.72","8.20%","397.75M","4.88","646.45M","33.24","3.47","23.83","N/A","N/A","2.22","-55.44%","-11.22%","30.02","12.65","18.53","23.85","697,886","1,085,700","81.58M","78.70M","3.29%","90.10%","43.00K","13.32","12.11%","43.00K","0.22","1.72%","0.22","1.70%","0.88%","7.39%","Dec 14, 2015","Nov 25, 2015","3:1","Jun 30, 2000",1.07e+09,67450000,0.0630373831775701
"AEL","1039828","0001039828-15-000042","132754000","20141231","6311","20141231","FY","2014","American Equity Investment Life Holding Co","NYSE",6311,"IA","IA",421447959,"1.07B","1.32B","4.83","4.70","0.50","0.69","0.54","0.87","3.45","Dec 31","Dec 31, 2015","14.47%","24.91%","0.51%","10.76%","1.52B","19.24","-9.10%","653.46M","383.38M","219.83M","2.72","8.20%","397.75M","4.88","646.45M","33.24","3.47","23.83","N/A","N/A","2.22","-55.44%","-11.22%","30.02","12.65","18.53","23.85","697,886","1,085,700","81.58M","78.70M","3.29%","90.10%","43.00K","13.32","12.11%","43.00K","0.22","1.72%","0.22","1.70%","0.88%","7.39%","Dec 14, 2015","Nov 25, 2015","3:1","Jun 30, 2000",1.07e+09,132754000,0.124069158878505
